"","TESTUA","AD.NG","AD.TRINKOA","AD.LAGUNTZAILEA","ZA.LUZ0","ZA.LUZ1","EZEZKOESALDIA"
"273","egia da",0,0,0,0,0,0
"274","bakarrik",0,0,0,0,0,0
"275","edaten",1,0,0,1,0,0
"276","dutela",0,0,1,0,0,0
"277","asteburu",0,0,0,1,0,0
"278","astebururo",0,0,0,0,0,0
"279","asteburuero",0,0,0,0,0,0
"280","astebururo",0,0,0,0,0,0
"281",NA,0,0,0,0,0,0
"282",NA,0,0,0,0,0,0
"283","?",0,0,0,0,0,0
"284","nik",0,0,0,0,0,0
"285","adibidez",0,0,0,1,0,0
"286","gaztea",0,0,0,0,1,0
"287","nintzenean",0,1,0,0,0,0
"288","ba hori",0,0,0,0,0,0
"289",NA,0,0,0,0,0,0
"290","parrandaz irteteko",0,0,0,0,0,0
"291","zeozer",0,0,0,0,0,0
"292","edan",0,0,0,0,0,0
"293","behar",1,0,0,0,0,0
"294","genuen",0,0,1,0,0,0
"295",NA,0,0,0,0,0,0
"296","bot+",0,0,0,0,0,0
"297","+til tzarra",0,0,0,0,0,0
"298","egingo",1,0,0,1,0,0
"299","genuen",0,0,1,0,1,0
"300",NA,0,0,0,1,0,0
"301","laguna",0,0,0,0,1,0
"302","argi",0,0,0,0,0,0
"303","dago",0,1,0,0,0,0
"304","alkohola",0,0,0,0,0,0
"305",NA,0,0,0,0,0,0
"306","kaltegarria",0,0,0,0,0,0
"307","dela",0,1,0,0,0,0
"308","nahiz eta",0,0,0,1,0,0
"309","drogaren zerrendan",0,0,0,0,0,0
"310","ez",0,0,0,0,0,0
"311",NA,0,0,0,0,0,0
"312","ez egon",0,0,0,0,0,0
"313","sartuta",0,0,0,0,0,0
"314","droga gogorra",0,0,0,0,0,0
"315","da",0,1,0,0,0,0
"316",NA,0,0,0,0,0,0
"317","alkohola",0,0,0,0,0,0
"318","alkoholikoak",0,0,0,0,0,0
"319",NA,0,0,0,0,0,0
"320","bai",0,0,0,0,0,0
"321",NA,0,0,0,0,0,0
"322","hil",1,0,0,0,0,0
"323",NA,0,0,0,0,0,0
"324","alkoholikoak",0,0,0,0,0,0
"325","hil",1,0,0,0,0,0
"326","dezakete",0,0,1,0,0,0
"327","hil",1,0,0,0,0,0
"328","daitezke",0,0,1,0,0,0
"329",NA,0,0,0,0,0,0
"330","alkoholagatik",0,0,0,0,0,0
"331","hau da",0,0,0,0,0,1
"332","berak",0,0,0,0,0,1
"333","bapatean",0,0,0,0,0,1
"334","ez",0,0,0,0,0,1
"335","badute",0,0,1,0,0,1
"336","alkohol bat+",0,0,0,0,0,1
"337","+ batek",0,0,0,0,0,1
"338","bapatean",0,0,0,0,0,1
"339","ez",0,0,0,0,0,1
"340","badu",0,0,1,0,0,1
"341","edan",1,0,0,0,0,1
"342","bere gorputza",0,0,0,1,0,1
"343","ezin",0,0,0,0,1,1
"344","du",0,0,1,0,0,1
"345","jasan",1,0,0,0,0,1
"346","eta",0,0,0,1,0,0
"347","hil",1,0,0,0,1,0
"348","hil",1,0,0,0,0,0
"349","dezake",0,0,1,0,0,0
"350","hil",1,0,0,0,0,0
"351","daiteke",0,0,1,0,0,0
"352","bai",0,0,0,0,0,0
"353","gainera",0,0,0,0,0,0
"354","alkohola",0,0,0,0,0,0
"355","zaila",0,0,0,1,0,0
"356","oso zaila",0,0,0,0,1,0
"357","da",0,1,0,0,0,0
"358","uztea",0,0,0,0,0,0
"359",NA,0,0,0,0,0,0
"360",NA,0,0,0,0,0,0
"361","arazo",0,0,0,1,0,0
"362","alkohola uzteko",0,0,0,0,0,0
"363","arazo handiena",0,0,0,0,0,0
"364","da",0,1,0,0,0,0
"365","gizartean",0,0,0,0,0,0
"366","oso zabalduta",0,0,0,1,0,0
"367","dago",0,1,0,0,1,0
"368","eta",0,0,0,0,0,0
"369","edozein leku",0,0,0,1,0,0
"370","daukazu",0,1,0,0,0,0
"371","zure",0,0,0,1,0,0
"372","xxx",0,0,0,0,0,0
"373","xx",0,0,0,0,0,0
"374","gainera",0,0,0,0,0,0
"375","ahalkoholaren ondorioz",0,0,0,0,0,0
"376",NA,0,0,0,0,0,0
"377","zure burmuina",0,0,0,0,0,0
"378","burmuina eta zure gibela",0,0,0,0,0,0
"379","okertzen",1,0,0,1,0,0
